iter	RMSE
0	0.7462756129
1	0.5894945227
2	0.5134098802
3	0.4775457277
4	0.4491381881
5	0.4396198464
6	0.4261477358
7	0.4184544547
8	0.4150158874
9	0.4115481007
10	0.4057744854
11	0.4029409103
12	0.398835112
13	0.3957389917
14	0.3938884387
15	0.3907635056
16	0.3888567269
17	0.3857046424
18	0.3813889149
19	0.3783686323
20	0.3757173642
21	0.3727005213
22	0.3702693461
23	0.3674292931
24	0.3652483976
25	0.3617289177
26	0.3587084989
27	0.3557069513
28	0.3531380825
29	0.3505537135
30	0.3476008733
31	0.3455527635
32	0.3431814142
33	0.3410742446
34	0.3390203409
35	0.3371657176
36	0.3357505311
37	0.3338931184
38	0.3318835976
39	0.3302337988
40	0.3275203674
41	0.325137346
42	0.3236214415
43	0.3218049861
44	0.3200832872
45	0.3187524964
46	0.3170143326
47	0.3156561942
48	0.3139286267
49	0.3130832283
50	0.3119666843
51	0.3108014918
52	0.3092301154
53	0.3081062006
54	0.3063562511
55	0.305297541
56	0.3038759108
57	0.3027177266
58	0.3015615203
59	0.3002553733
60	0.2982949865
61	0.2968990288
62	0.2960009625
63	0.2945081642
64	0.2930904735
65	0.2918598997
66	0.2911781979
67	0.2899670432
68	0.2887047774
69	0.2877965207
70	0.28696008
71	0.2861615853
72	0.2856518595
73	0.2845835327
74	0.28340226
75	0.2824360389
76	0.2814106568
77	0.2805823518
78	0.2797202853
79	0.2786122984
80	0.2779347284
81	0.2770950798
82	0.2761990212
83	0.2751798746
84	0.2746589781
85	0.2736932375
86	0.2722014517
87	0.2713264669
88	0.2707506047
89	0.2698117396
90	0.2687552853
91	0.2676415495
92	0.2669498829
93	0.2662626288
94	0.2655179631
95	0.2642261917
96	0.2637293263
97	0.2629882734
98	0.2623744595
99	0.2616717341
