iter	Passed	Remaining
0	144	14337
1	153	7523
2	160	5177
3	165	3969
4	170	3242
5	175	2754
6	181	2407
7	186	2144
8	191	1936
9	196	1770
10	202	1635
11	207	1518
12	211	1415
13	216	1327
14	220	1249
15	225	1181
16	229	1120
17	234	1066
18	238	1017
19	243	972
20	247	932
21	252	894
22	256	860
23	261	828
24	266	800
25	271	773
26	277	748
27	282	725
28	287	702
29	291	681
30	296	660
31	301	640
32	306	621
33	310	602
34	315	585
35	319	568
36	325	553
37	330	539
38	335	524
39	339	509
40	344	495
41	349	482
42	353	468
43	358	455
44	362	443
45	367	431
46	371	419
47	376	407
48	380	396
49	384	384
50	389	374
51	394	363
52	398	353
53	402	343
54	407	333
55	412	323
56	416	314
57	420	304
58	425	295
59	429	286
60	433	277
61	438	268
62	442	259
63	446	251
64	451	242
65	455	234
66	459	226
67	464	218
68	468	210
69	473	202
70	477	195
71	482	187
72	486	179
73	490	172
74	495	165
75	499	157
76	503	150
77	508	143
78	512	136
79	518	129
80	523	122
81	528	115
82	534	109
83	540	102
84	544	96
85	548	89
86	553	82
87	558	76
88	562	69
89	566	62
90	571	56
91	575	50
92	579	43
93	584	37
94	588	30
95	593	24
96	597	18
97	601	12
98	606	6
99	610	0
